Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
14,R101 R102 R103 R104 R105 R106 R107 R108 R109 R110 R111 R112 R201 R202 R203 R204 R205 R206 R207 R208 R209 R210 R211 R212 R213 R214 R215 R216 R217 R218 R219 R220 R221 R222 R223 R224 R225 R226 R227 R228 R229 R230 R231 R232 R301 R302 R303 R401 R402 R403 R404,R,1 kΩ,0402WGF1001TCE,UNI-ROYAL(Uniroyal Elec),JLCPCB,,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702 https://jlcpcb.com/partdetail/18646-1206W4F220JT5E/C17958 https://jlcpcb.com/partdetail/26826-0402WGF1004TCE/C26083 https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905 https://jlcpcb.com/partdetail/17853-0402WGF0000TCE/C17168,R_0402_1005Metric,Resistor,51
15,SW101,SW_Push,Reset,TACT-65R-F,NINIGI,,,,SW_PUSH_6mm,"Push button switch, generic, two pins",1
16,SW401,SW_Push_DPDT,Term,TL2202EEZB (GRN ACT),E-Switch,,141-TL2202EEZB(GRNACT)-ND,,SW_Push_2P2T_Toggle_CK_PVA2xxH1xxxxxxV2,"Momentary Switch, dual pole double throw",1
17,U201,ADM213,ADM213,,,JLCPCB,,https://jlcpcb.com/partdetail/MaxLinear-SP213EEA_LTR/C415725,SSOP-28_5.3x10.2mm_P0.65mm,"0.1 μF, 5V powered CMOS RS-232 120kb/s transceiver with 4 drivers and 5 receivers (tx/rx: 4/5; 2 receivers active in shutdown), shutdown / enable pins, SOIC-28 / SSOP-28",1
18,U102,AMS1117-3.3,AMS1117-3.3,,,JLCPCB,,https://jlcpcb.com/partdetail/Advanced_MonolithicSystems-AMS1117_33/C6186,SOT-223-3_TabPin2,"1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",1
19,U104,ATECC608B-MAHDA,ATECC608B-MAVDA-S,ATECC608B-MAVDA-S,Microchip Tech,JLCPCB,,https://jlcpcb.com/partdetail/MicrochipTech-ATECC608B_MAHDAT/C17561150,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,"Cryptographic Co-Processor with Secure Hardware-based 16 Key Storage, ECDSA and ECDH support, I2C, UDFN-8",1
20,U302,CH340N,CH340N,CH340N,WCH(Jiangsu Qin Heng),JLCPCB,,https://jlcpcb.com/partdetail/TorexSemicon-XC6206P332MRG/C5446,JEITA_SOIC-8_3.9x4.9mm_P1.27mm,"USB serial converter, 2Mbps, UART, JEITA SOIC-8 (SOP-8)",1
21,U101,M24C02-RMN,M24C64-RMN,,,JLCPCB,,https://jlcpcb.com/partdetail/STMicroelectronics-M24C64RMN6TP/C79988,SOIC-8_3.9x4.9mm_P1.27mm,"2Kb (256x8) I2C Serial EEPROM, 1.8-5.5V, SOIC-8",1
22,U202,SP330,SP330,,,JLCPCB,,https://jlcpcb.com/partdetail/MaxLinear-SP330EEY_LTR/C916084,TSSOP-24_4.4x7.8mm_P0.65mm,RS-232/RS-485/RS-422 Transceiver with 1.65V-5.5V Interface,1
23,U103,STM32G431RBTx,STM32G431RBTx,,,JLCPCB,,https://jlcpcb.com/partdetail/STMicroelectronics-STM32G431RBT6/C431633,LQFP-64_10x10mm_P0.5mm,"STMicroelectronics Arm Cortex-M4 MCU, 128KB flash, 32KB RAM, 170 MHz, 1.71-3.6V, 52 GPIO, LQFP64",1
24,U401,TJA1042T,TJA1042T,TJA1042T/1J,NXP Semicon,JLCPCB,,https://jlcpcb.com/partdetail/NXPSemicon-TJA1042T1J/C53670,SOIC-8_3.9x4.9mm_P1.27mm,"High-Speed CAN Transceiver, standby mode, split pin, SOIC-8",1
25,U105 U303,USBLC6-2SC6,USBLC6-2SC6,USBLC6-2SC6,TECH PUBLIC,JLCPCB,,https://jlcpcb.com/partdetail/2790619-USBLC62SC6/C2687116,SOT-23-6,"Very low capacitance ESD protection diode, 2 data-line, SOT-23-6",2
26,U301,XC6206PxxxMR,XC6206P332MR,XC6206P332MR-G,Torex Semicon,JLCPCB,,https://jlcpcb.com/partdetail/WCH_Jiangsu_Qin_Heng-CH340N/C2977777,SOT-23-3,"Positive 60-250mA Low Dropout Regulator, Fixed Output, SOT-23",1
27,Y101 Y102,Crystal,8MHz,,,JLCPCB,,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X50328MSB2GI/C115962 https://jlcpcb.com/partdetail/SeikoEpson-Q13FC13500004/C32346,Crystal_SMD_5032-2Pin_5.0x3.2mm,Two pin crystal,2





Project info:
Schematic:,sertest-ng
Variant:,default
Revision:,0.1
Date:,2025-12-09
KiCad Version:,9.0.6+1
Statistics:
Component Groups:,27
Component Count:,130
Fitted Components:,130
Number of PCBs:,1
Total Components:,130
